Description
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
"Clean lines and a rhinestone brooch add a charming touch to this three-piece skirt suit by Giovanna Signature. This set includes a collarless jacket with a rhinestone closure, a matching cami, and a modest column skirt. This suit is also machine washable for easy care.<br><br><a href='https://www.overstock.com/downloads/pdf/YDCGroup.pdf' target='_blank'>Click here to view the Giovanna Signature Collection's sizing guide</a><br><br><ul><li>Color options: Fuchsia, black, royal, silver, and white</li><li>Fit: Missy</li><li>Print: Solid</li><li>Camisole sleeves: Sleeveless</li><li>Jacket sleeves: Long</li><li>Waist details: Side elastic waistband</li><li>Neckline: Round neckline</li><li>Lining: Fully lined</li><li>Skirt closure: Back zipper with button closure</li><li>Jacket closure: Rhinestone brooch closure</li><li>Jacket features: Collarless, fully lined</li><li>Shell materials: 100-percent polyester</li><li>Lining materials: 100-percent polyester</li><li>Machine washable</li><li>Model: 0650</li></ul><br><b>The approximate length from the cami's top center back to the hem is 22 inches. The approximate skirt inseam is 33 inches. The approximate length from the jacket's top center back to the hem is 27.5 inches. These measurements were taken from a size 10.</b><br><br><a href='https://www.overstock.com/Measurement-Guide/63867/static.html?nocache=true' target='blank'>Measurement Guide<br></a><br><i>All measurements are approximate and may vary by size.</i><br>"
